"","GENEID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ENSG00000142611",23.8016210908729,-0.113989216976782,0.258409068255428,0.0318585605598902,0.181402568837288
"2","ENSG00000157911",166.418542112698,-0.107339220442273,0.16607728030494,0.350187146822724,0.674201629517838
"3","ENSG00000142655",282.236271837889,0.149227667704423,0.131148017207521,0.163102242442724,0.468512049424281
"4","ENSG00000171621",646.246918083579,0.232964707893309,0.207830326654428,0.0837611003152605,0.326189592158758
"5","ENSG00000142583",59.5744416491303,0.0999879123745515,0.251875266445305,0.0093000960756227,0.0793518432621797
"6","ENSG00000173614",161.122901684717,0.0727634639427219,0.1373206483354,0.500704663954153,0.781464109815234
"7","ENSG00000171729",53.6205076522151,0.0995635263622468,0.229203406405989,0.242655971270256,0.569703779847379
"8","ENSG00000157916",1767.52788278818,0.117463586857432,0.132985287533834,0.273671710156443,0.602197577540516
"9","ENSG00000157881",205.753089876794,-0.150808020693494,0.186278443841464,0.213687645056873,0.534379366446514
"10","ENSG00000048707",966.257912187731,0.241146474320151,0.158765495773097,0.0480419240867383,0.236606883676593
"11","ENSG00000180758",79.8609398006936,0.131021106693835,0.230698532097007,0.213226527123433,0.533903085955827
"12","ENSG00000184677",343.642719266515,-0.00331151982036347,0.1245035808044,0.973231153051465,0.991261540729051
"13","ENSG00000131697",199.517561500493,0.0875139572054058,0.174746330800406,0.440326891523666,0.745008434930805
"14","ENSG00000204138",300.621395202413,-0.469524950393446,0.14313724241761,0.000156008108832509,0.00407608381800736
"15","ENSG00000090020",1091.39642453379,0.264904496504739,0.186467220337026,0.0467385205031296,0.232937345694108
"16","ENSG00000158006",205.543504221892,0.1131682106506,0.130211651263435,0.285080592346677,0.613713989516416
"17","ENSG00000171612",58.6083401137267,-0.0375135087279698,0.185502541718322,0.710382081648503,0.898551576293074
"18","ENSG00000158161",410.990849793093,-0.135396503453993,0.158110410034952,0.242982394003767,0.570101271673241
"19","ENSG00000189337",196.587925092755,0.0500942364745433,0.206915092272338,0.548028398061606,0.811310094804788
"20","ENSG00000028137",76.0537416492704,-0.00499128112373314,0.214204104372868,0.905467683144579,0.970745896968564
